Year;Coal               ;Oil                  ;Natural gas          ;Biofuels and waste;Electricity          ;Other            ;Total (Mtoe)
1971;634.666;1995.108;581.7;586.28;377.079;68.659;4243.492
1972;630.24;2118.963;617.591;597.557;407.888;73.091;4445.33
1973;631.615;2251.9;651.765;608.219;439.159;76.993;4659.651
1974;629.026;2203.702;667.348;619.289;453.027;81.588;4653.98
1975;639.814;2205.047;666.398;628.185;464.644;94.154;4698.242
1976;641.608;2330.549;700.455;643.071;495.69;93.211;4904.584
1977;665.041;2422.211;716.226;655.392;520.089;98.047;5077.006
1978;689.088;2506.392;745.454;669.877;547.306;104.098;5262.215
1979;711.85;2554.87;787.483;684.316;571.295;109.58;5419.394
1980;702.861;2449.327;814.81;696.018;585.662;121.213;5369.891
1981;706.94;2369.105;826.699;706.364;599.997;128.137;5337.242
1982;700.599;2316.078;806.819;719.939;603.517;134.815;5281.767
1983;707.145;2308.768;808.545;733.716;628.648;144.259;5331.081
1984;744.813;2352.489;859.829;754.919;667.246;151.718;5531.014
1985;756.213;2373.484;869.259;764.866;689.723;162.956;5616.501
1986;755.596;2443.912;877.546;775.501;712.593;180.417;5745.565
1987;777.248;2512.894;919.424;794.421;746.445;173.104;5923.536
1988;801.626;2599.975;961.598;802.514;781.265;173.953;6120.931
1989;784.229;2630.812;978.885;781.13;807.452;179.408;6161.916
1990;751.739;2606.143;944.409;790.96;834.254;339.671;6267.176
1991;729.181;2638.696;961.182;803.281;860.821;340.328;6333.489
1992;666.686;2667.603;953.801;816.055;866.584;340.797;6311.526
1993;658.457;2673.476;978.325;817.756;883.79;337.769;6349.573
1994;639.74;2723.237;975.005;826.691;906.871;311.74;6383.284
1995;660.32;2800.952;1005.865;842.366;935.008;291.776;6536.287
1996;607.754;2897.092;1056.758;851.259;965.617;267.415;6645.895
1997;608.426;2965.646;1053.878;858.052;988.406;255.242;6729.65
1998;588.634;2977.002;1041.75;868.659;1013.198;253.884;6743.127
1999;540.207;3063.82;1068.327;900.66;1043.676;255.585;6872.275
2000;541.691;3119.463;1119.246;902.805;1091.798;257.029;7032.032
2001;551.772;3150.781;1106.575;890.7;1107.583;262.159;7069.57
2002;562.39;3197.32;1121.052;900.523;1146.574;260.052;7187.911
2003;616.507;3255.467;1157.642;918.63;1192.532;268.75;7409.528
2004;714.747;3402.949;1179.09;930.662;1245.626;271.999;7745.073
2005;825.41;3445.299;1194.586;940.969;1301.294;272.292;7979.85
2006;871.243;3504.042;1213.119;952.424;1357.889;281.879;8180.596
2007;915.904;3563.656;1255.235;965.266;1425.828;282.632;8408.521
2008;962.564;3522.176;1287.176;979.715;1448.926;278.007;8478.564
2009;989.123;3458.975;1230.773;985.841;1439.072;274.587;8378.371
2010;1058.479;3596.699;1345.822;1002.077;1537.998;296.657;8837.732
2011;1109.172;3578.561;1365.034;1004.194;1585.605;309.35;8951.916
2012;1120.399;3613.852;1363.514;1007.633;1628.191;318.761;9052.35
2013;1106.623;3676.562;1417.605;1015.936;1679.089;314.063;9209.878
2014;1113.554;3732.135;1421.81;1011.568;1712.586;312.948;9304.601
2015;1097.261;3825.286;1422.661;1008.654;1740.726;313.397;9407.985
2016;1052.532;3888.025;1455.653;1008.707;1796.75;328.132;9529.799
2017;1017.425;3990.119;1514.175;1013.611;1845.233;335.936;9716.499
2018;994.497;4051.09;1611.345;1012.374;1918.779;349.617;9937.702
